City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kavaratti,IN,80.58,overcast clouds,10.5669,72.642,Green leaf
4,Maceio,BR,75.85,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
5,Hami,CN,80.35,overcast clouds,42.8,93.45,Laoyutang Resort
21,Nalut,LY,81.01,clear sky,30.3333,10.85,
26,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
34,Victoria,HK,89.19,overcast clouds,22.2855,114.1577,Mini Central
35,Tahoua,NE,77.85,light rain,14.8888,5.2692,Bungalows Guesthouse
38,Hasaki,JP,86.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
41,Kapaa,US,85.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Kavieng,PG,84.47,light rain,-2.5744,150.7967,Nusa Island Retreat
43,Atuona,PF,77.68,broken clouds,-9.8,-139.0333,Villa Enata
47,Albany,US,76.37,overcast clouds,42.6001,-73.9662,
49,Shubarshi,KZ,85.37,few clouds,48.5872,57.1869,
50,Palmer,US,76.24,overcast clouds,42.1584,-72.3287,Wedgewood Motel
51,San Mateo Del Mar,MX,85.98,broken clouds,16.2,-95.0,
53,Chlorakas,CY,77.88,clear sky,34.8042,32.4083,Elysium Hotel
54,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
55,Sangar,RU,77.04,scattered clouds,63.9242,127.4739,
56,Mahibadhoo,MV,83.12,overcast clouds,3.7833,72.9667,Omadhoo Inn
57,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
58,Nova Olinda Do Norte,BR,80.64,broken clouds,-3.8881,-59.0942,Casa Juazeiro
62,Stony Mountain,CA,87.58,scattered clouds,50.0864,-97.2196,Mountain Motor Inn
67,Ngama,TD,78.44,broken clouds,11.7833,17.1667,
69,Lexington,US,81.72,broken clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
77,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
78,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
80,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
81,Naze,JP,83.32,overcast clouds,28.3667,129.4833,Shishime Hotel
83,Butaritari,KI,82.36,few clouds,3.0707,172.7902,Isles Sunset Lodge
85,Port Hawkesbury,CA,76.12,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
86,Campoverde,PE,76.69,broken clouds,-8.4753,-74.8058,Hospedaje Coral's
93,Yatou,CN,78.46,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
94,Pak Phanang,TH,80.62,overcast clouds,8.3511,100.202,Green Park Inn Hotel
103,Honiara,SB,87.03,few clouds,-9.4333,159.95,Heritage Park Hotel
108,Xiamen,CN,86.05,few clouds,24.4798,118.0819,Xiamen Dongchen Hotel
120,Newnan,US,87.31,light rain,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
123,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
125,Envira,BR,76.33,broken clouds,-7.3,-70.2167,
127,Port Blair,IN,81.43,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
138,Ewa Beach,US,85.95,overcast clouds,21.3156,-158.0072,Base Lodging
141,Matara,LK,78.8,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
143,Jabinyanah,TN,80.4,clear sky,35.035,10.9081,maison belmabrouk
144,Boyolangu,ID,75.61,overcast clouds,-8.1181,111.8935,Yos ega cv
148,Tarakan,ID,78.3,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
150,Cotonou,BJ,76.98,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
151,Dhidhdhoo,MV,82.13,moderate rain,6.8833,73.1,Dhidhoo beach
153,Bubaque,GW,79.56,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
157,Dingle,PH,75.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
165,Qandala,SO,87.48,broken clouds,11.472,49.8728,
166,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
171,Manoharpur,IN,87.35,overcast clouds,27.3,75.95,कैथल हरियाणा होटल
173,Lac Du Bonnet,CA,81.19,scattered clouds,50.2536,-96.0612,Drifter's Inn
176,Bethel,US,75.36,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
177,Sibolga,ID,77.04,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
183,Marrakesh,MA,86.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
184,Chenghai,CN,82.31,broken clouds,23.4632,116.768,Guangdong Hotel
185,Kyaikkami,MM,81.48,broken clouds,16.08,97.5675,St. joseph catholic church
188,Cockburn Town,TC,81.82,clear sky,21.4612,-71.1419,Osprey Beach Hotel
189,Mayo,US,82.67,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
199,Waverly,US,84.13,clear sky,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
207,Pacific Grove,US,80.55,clear sky,36.6177,-121.9166,Lovers Point Inn
208,Goderich,CA,75.9,clear sky,43.7501,-81.7165,Harmony Inn
210,Sai Buri,TH,81.97,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
212,Nishihara,JP,87.46,broken clouds,26.1842,127.7558,Minshuku Agaihama
214,Praia,CV,75.42,broken clouds,14.9215,-23.5087,LT Aparthotel
218,Changli,CN,78.55,broken clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
220,Petapa,GT,78.15,broken clouds,14.5028,-90.5517,La Visión del Espíritu Santo
222,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
228,Samarai,PG,80.35,few clouds,-10.6167,150.6667,Nuli Sapi
229,Dieppe,FR,78.98,clear sky,49.75,1.1667,LA LONGERE DES NUITS DE VARENNE
230,Viransehir,TR,84.7,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
235,Buala,SB,85.12,light rain,-8.145,159.5921,Maringe Lagoon Lodge
236,Bardiyah,LY,76.69,clear sky,31.7561,25.0865,بورتو بردية
237,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
239,Kirakira,SB,83.32,few clouds,-10.4544,161.9205,SanBiz Lodge
242,Celestun,MX,87.01,scattered clouds,20.8667,-90.4,Posada Lilia
247,Acajutla,SV,83.05,broken clouds,13.5928,-89.8275,Laureles
250,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
251,Hamilton,US,81.91,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
252,El Bagre,CO,78.24,broken clouds,7.5927,-74.8086,Hotel Real
256,Sur,OM,83.35,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
257,Shiraoi,JP,77.2,few clouds,42.55,141.35,Pirika Rera Hotel
259,Ciudad Bolivar,VE,81.18,overcast clouds,8.1222,-63.5497,Hotel Edi
264,Marzuq,YE,81.63,overcast clouds,14.4,46.4667,
265,Guerrero Negro,MX,78.22,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
270,Hirara,JP,88.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
279,Tura,IN,75.07,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
284,Aripuana,BR,76.91,clear sky,-9.1667,-60.6333,
285,Westport,US,78.08,scattered clouds,41.1415,-73.3579,The Westport Inn
286,Appleton,US,86.07,broken clouds,44.2619,-88.4154,La Quinta Inn & Suites by Wyndham Appleton College Avenue
292,Melendugno,IT,75.29,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
293,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
297,Mogadishu,SO,75.42,light rain,2.0371,45.3438,Hotel Juba
298,Itaituba,BR,79.63,broken clouds,-4.2761,-55.9836,Hotel Campos
299,Bang Saphan,TH,79.32,broken clouds,11.2126,99.5117,Ladawan Boutique Hotel
300,Port Keats,AU,75.7,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
308,Nago,JP,88.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
309,Bac Lieu,VN,80.17,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
315,Nioro,GM,79.09,overcast clouds,13.35,-15.75,
316,Humaita,BR,79.29,clear sky,-7.5061,-63.0208,Corrêa Hotel
318,Horsham,GB,76.24,few clouds,51.064,-0.3272,Springfields Hotel
322,Nantucket,US,75.34,mist,41.2835,-70.0995,Jared Coffin House
323,Waddan,LY,77.38,clear sky,29.1614,16.139,محل الشريف محمد العايب
327,Fernandina Beach,US,84.29,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
331,Gonbad-E Qabus,IR,79.75,clear sky,37.25,55.1672,Samin Building
338,La Ronge,CA,84.42,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
339,Santa Catarina De Tepehuanes,MX,80.42,broken clouds,25.35,-105.7333,hotel plaza
342,Ugoofaaru,MV,82.38,overcast clouds,5.6667,73.0,Ungoofaaru Inn
343,Sinnamary,GF,78.8,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
347,San Policarpo,PH,80.47,broken clouds,12.1791,125.5072,Agapita M. Nicart
348,Tautira,PF,76.35,few clouds,-17.7333,-149.15,Pension Oaoa
349,Mao,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
351,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
353,Bengkulu,ID,75.58,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
355,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
358,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
361,Hatta,IN,79.66,overcast clouds,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
362,Biak,ID,75.11,overcast clouds,-0.9131,122.8766,Penginapan Kim
364,Xiongzhou,CN,83.32,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
370,Muhammadabad,IN,89.24,overcast clouds,25.6333,83.75,SAIF'S HOUSE
371,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
374,Dinhata,IN,80.74,overcast clouds,26.1333,89.4667,Hotel Ganaraj And restrurent
378,Hobyo,SO,75.09,broken clouds,5.3505,48.5268,Iftin hotel hobyo
383,San Matias,BO,75.36,broken clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
385,Hoa Binh,VN,83.77,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
388,Manggar,ID,82.36,broken clouds,-2.8833,108.2667,Guest Hotel
389,Itarema,BR,78.26,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
390,Jalu,LY,81.48,clear sky,29.0331,21.5482,صاحبة الفخامة
391,Sciacca,IT,83.03,clear sky,37.5082,13.0881,Hotel Aliai
393,Port Moresby,PG,80.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
395,South Lake Tahoe,US,86.85,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
396,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
400,Albanel,CA,78.94,broken clouds,48.8832,-72.4487,Camping municipal d'Albanel
402,Tournai,BE,75.47,clear sky,50.6072,3.3893,HOTEL CATHEDRALE
404,Tenenkou,ML,88.48,broken clouds,14.4572,-4.9169,
405,Mecca,SA,87.13,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
408,Tual,ID,79.72,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
410,Puerto Princesa,PH,78.78,heavy intensity rain,9.7392,118.7353,Deep Forest Garden Inn
411,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
414,Lady Lake,US,85.14,scattered clouds,28.9175,-81.9229,"Holiday Inn Express & Suites the Villages, an IHG Hotel"
418,Lorengau,PG,82.4,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
422,Villa Rica,US,82.22,broken clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
429,Tamandare,BR,75.34,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
431,Toyooka,JP,77.05,light intensity shower rain,35.5333,134.8333,O Hotel Toyooka
433,Seymchan,RU,76.68,broken clouds,62.8833,152.4333,
434,Lompoc,US,81.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
436,Maki,JP,76.95,moderate rain,37.75,138.8833,Iwamuro Onsen Fujiya
440,Mitsamiouli,KM,75.6,scattered clouds,-11.3847,43.2844,Foyer ADM
442,Alyangula,AU,75.09,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
447,North Bend,US,80.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
448,Alexandria,EG,79.23,clear sky,31.2156,29.9553,Royal Crown Hotel
449,Whitecourt,CA,83.44,few clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
450,Tshikapa,CD,77.18,broken clouds,-6.4167,20.8,Tatem beach
452,Sann,PK,80.51,overcast clouds,26.0418,68.1378,New Sindhri Hotel
456,Sola,VU,83.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
457,Boulder,US,87.46,clear sky,40.0833,-105.3505,Deck House Boulder
458,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
459,Mori,JP,79.65,heavy intensity rain,34.8333,137.9333,YAMAHA Resort Hotel Katsuragi Kitanomaru
465,Martapura,ID,77.18,broken clouds,-3.4167,114.85,Montana Hotel Syariah
470,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
474,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
480,Buenaventura,CO,76.64,broken clouds,3.8801,-77.0312,Hotel Victoria
481,Touros,BR,75.58,light rain,-5.1989,-35.4608,INN NEW HORIZON
482,Lebanon,US,83.44,overcast clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
483,Jiazi,CN,83.71,overcast clouds,22.8779,116.067,Hotel Jin Hao
485,Yamada,JP,77.54,overcast clouds,39.4667,141.95,Iroha-ya Inn
489,Acarau,BR,78.3,scattered clouds,-2.8856,-40.12,castelo pizzaria
492,Eyl,SO,77.0,broken clouds,7.9803,49.8164,Amiin Hotel
493,Holly Springs,US,86.76,broken clouds,35.6513,-78.8336,Hampton Inn & Suites Holly Springs
494,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
495,Manchester,GB,80.33,scattered clouds,53.4809,-2.2374,The Gardens Hotel
498,Dwarka,IN,81.59,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
499,Brigantine,US,79.2,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
500,Poya,NC,78.82,light rain,-21.35,165.15,
503,Kaka,TM,86.52,clear sky,37.3482,59.6143,
509,Conceicao Das Alagoas,BR,76.78,few clouds,-19.9147,-48.3883,Bouganville Hotel
510,San Rafael Del Sur,NI,81.57,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
512,Portland,US,82.56,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
517,Gizo,SB,83.71,broken clouds,-8.103,156.8419,Imagination Island
518,Tessalit,ML,85.41,broken clouds,20.1986,1.0114,
520,Danjiangkou,CN,78.93,overcast clouds,32.5428,111.5086,Dongsheng Guesthouse
522,Aguilas,ES,78.96,clear sky,37.4063,-1.5829,Hotel Carlos III
523,Erenhot,CN,76.32,light rain,43.6475,111.9767,Erenhot Rurouni Youth Hostel
524,Black River,JM,81.14,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
532,Hay River,CA,75.18,broken clouds,60.8156,-115.7999,Ptarmigan Inn
541,Shimoda,JP,79.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
542,Seoul,KR,81.97,mist,37.5683,126.9778,LOTTE HOTEL SEOUL
545,San Gabriel Casa Blanca,MX,80.2,overcast clouds,18.15,-97.1333,
546,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
556,Ranong,TH,78.73,broken clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
559,Pouebo,NC,77.83,broken clouds,-20.4,164.5667,RIVÂT LODGE
560,San Lawrenz,MT,78.21,clear sky,36.0553,14.204,San Andrea Hotel
561,Poum,NC,75.58,broken clouds,-20.2333,164.0167,
563,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
564,Carupano,VE,77.54,scattered clouds,10.6678,-63.2585,Hotel La dorada
566,Sao Filipe,CV,77.4,scattered clouds,14.8961,-24.4956,Hotel Xaguate
571,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
575,Poindimie,NC,77.7,broken clouds,-20.9333,165.3333,hotel de la plage
577,Bandarbeyla,SO,75.83,overcast clouds,9.4942,50.8122,JABIR HOTEL
578,Vanimo,PG,78.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
591,Boa Vista,BR,78.78,light rain,2.8197,-60.6733,Aipana Plaza Hotel
597,Lapi,PH,82.81,light rain,17.716,121.8978,
598,Totness,SR,78.15,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
599,Wanning,CN,86.05,overcast clouds,18.8003,110.3967,Paradise Hotel
600,Merritt Island,US,84.09,mist,28.5392,-80.672,
606,Srivardhan,IN,78.6,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
607,Promissao,BR,76.19,overcast clouds,-21.5367,-49.8581,Recanto Monte Cristo
608,Ibra,OM,81.59,light rain,22.6906,58.5334,مزرعة راحة النفوس المنزفة
609,Malabo,GQ,76.86,few clouds,3.75,8.7833,Magno Suites Exclusive Hotel & Restaurant
610,Ranghulu,CN,76.15,scattered clouds,46.65,124.8667,Jinjiang Inn
613,Korla,CN,83.43,clear sky,41.7597,86.1469,Gulisitan Hotel
617,Samarkand,UZ,76.42,clear sky,39.6542,66.9597,Ideal Hotel
620,Nkan,GA,76.77,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
621,Marsa Matruh,EG,76.62,clear sky,31.3525,27.2453,Beau Site
622,Along,IN,75.61,overcast clouds,28.1667,94.7667,Hotel West
623,Chapais,CA,76.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
624,Scicli,IT,78.91,clear sky,36.7902,14.7014,Le Dimore Dei Venti
626,Bud,US,82.35,clear sky,39.447,-86.1758,Ted McQuinn Trust
634,Kumphawapi,TH,84.81,overcast clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
635,Tukrah,LY,78.48,clear sky,32.5341,20.5791,Lagrota restaurant
638,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
640,Warrington,GB,80.35,clear sky,53.3925,-2.5802,Villaggio Hotel
643,Benghazi,LY,79.3,clear sky,32.1167,20.0667,Tibesti Hotel
645,Paralimni,CY,84.11,clear sky,35.0375,33.9833,Amore Hotel Apartments
649,Channahon,US,86.16,clear sky,41.4295,-88.2287,Manor Motel
652,Aras,ES,81.01,clear sky,42.5617,-2.356,Jardines de Viana Spa
653,Nicoya,CR,76.46,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
654,Colwyn Bay,GB,76.21,overcast clouds,53.2948,-3.7267,Bryn Woodlands House
655,Corpus Christi,US,89.83,few clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
657,Kerema,PG,82.08,broken clouds,-7.9631,145.7785,Frena Lodge
658,Katsuura,JP,80.51,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
659,Tubuala,PA,81.72,scattered clouds,9.5167,-79.0333,
660,Riyadh,SA,89.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
665,Dibulla,CO,80.53,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
666,Valleyview,CA,75.24,broken clouds,55.0667,-117.2859,Paradise Inn & Suites
668,Pimenta Bueno,BR,75.67,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
669,Dhanbad,IN,81.05,overcast clouds,23.8,86.45,Capital O 48963 Gulmohar Marriage Garden Saver
671,Natal,BR,77.22,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
673,Aquiraz,BR,78.89,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
675,Laibin,CN,84.6,overcast clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
677,Moa,CU,79.52,clear sky,20.6569,-74.9403,Carmen
681,Pasni,PK,82.94,overcast clouds,25.2631,63.471,Kashmiri Hotal
